pref_code,prefecture_name,canonical_name,name,name_type
01,北海道,北海道警察,北海道警察,canonical
02,青森県,青森県警察,青森県警察,canonical
03,岩手県,岩手県警察,岩手県警察,canonical
04,宮城県,宮城県警察,宮城県警察,canonical
05,秋田県,秋田県警察,秋田県警察,canonical
06,山形県,山形県警察,山形県警察,canonical
07,福島県,福島県警察,福島県警察,canonical
08,茨城県,茨城県警察,茨城県警察,canonical
09,栃木県,栃木県警察,栃木県警察,canonical
10,群馬県,群馬県警察,群馬県警察,canonical
11,埼玉県,埼玉県警察,埼玉県警察,canonical
12,千葉県,千葉県警察,千葉県警察,canonical
13,東京都,警視庁,警視庁,canonical
13,東京都,警視庁,東京都警察,alias
14,神奈川県,神奈川県警察,神奈川県警察,canonical
15,新潟県,新潟県警察,新潟県警察,canonical
16,富山県,富山県警察,富山県警察,canonical
17,石川県,石川県警察,石川県警察,canonical
18,福井県,福井県警察,福井県警察,canonical
19,山梨県,山梨県警察,山梨県警察,canonical
20,長野県,長野県警察,長野県警察,canonical
21,岐阜県,岐阜県警察,岐阜県警察,canonical
22,静岡県,静岡県警察,静岡県警察,canonical
23,愛知県,愛知県警察,愛知県警察,canonical
24,三重県,三重県警察,三重県警察,canonical
25,滋賀県,滋賀県警察,滋賀県警察,canonical
26,京都府,京都府警察,京都府警察,canonical
27,大阪府,大阪府警察,大阪府警察,canonical
28,兵庫県,兵庫県警察,兵庫県警察,canonical
29,奈良県,奈良県警察,奈良県警察,canonical
30,和歌山県,和歌山県警察,和歌山県警察,canonical
31,鳥取県,鳥取県警察,鳥取県警察,canonical
32,島根県,島根県警察,島根県警察,canonical
33,岡山県,岡山県警察,岡山県警察,canonical
34,広島県,広島県警察,広島県警察,canonical
35,山口県,山口県警察,山口県警察,canonical
36,徳島県,徳島県警察,徳島県警察,canonical
37,香川県,香川県警察,香川県警察,canonical
38,愛媛県,愛媛県警察,愛媛県警察,canonical
39,高知県,高知県警察,高知県警察,canonical
40,福岡県,福岡県警察,福岡県警察,canonical
41,佐賀県,佐賀県警察,佐賀県警察,canonical
42,長崎県,長崎県警察,長崎県警察,canonical
43,熊本県,熊本県警察,熊本県警察,canonical
44,大分県,大分県警察,大分県警察,canonical
45,宮崎県,宮崎県警察,宮崎県警察,canonical
46,鹿児島県,鹿児島県警察,鹿児島県警察,canonical
47,沖縄県,沖縄県警察,沖縄県警察,canonical
