事業ID,事業名,府省庁,証拠準備度（0〜4）,証拠信頼度（0〜1）,政策効果スコア（0〜100）,政策価値スコア（0〜100）,廃止優先度（0〜100）,推奨アクション,現在の判定状態,不足データ
2826,基礎年金給付に必要な経費,厚生労働省,1,0.93,,,,EVIDENCE_REQUIRED,判定不能,3-1成果目標・実績、3-2効果発現経路、4-1点検・評価、比較対象、費用対効果
2265,医療保険給付費国庫負担金等,厚生労働省,2,0.91,,,,EVIDENCE_REQUIRED,判定不能,3-1成果目標・実績、3-2効果発現経路、4-1点検・評価、比較対象、費用対効果
2711,保護費負担金,厚生労働省,1,0.94,,,,EVIDENCE_REQUIRED,判定不能,3-1成果目標・実績、3-2効果発現経路、4-1点検・評価、比較対象、費用対効果
6486,子どものための教育・保育給付に必要な経費,こども家庭庁,2,0.90,,,,EVIDENCE_REQUIRED,判定不能,3-1成果目標・実績、3-2効果発現経路、4-1点検・評価、比較対象、費用対効果
6534,大学等における修学支援に必要な経費,こども家庭庁,3,0.95,,,,EVIDENCE_REQUIRED,判定不能,3-1成果目標・実績、3-2効果発現経路、4-1点検・評価、比較対象、費用対効果
4448,防災・安全交付金,国土交通省,1,0.86,,,,EVIDENCE_REQUIRED,判定不能,3-1成果目標・実績、3-2効果発現経路、4-1点検・評価、比較対象、費用対効果
4032,道路事業(直轄・改築等),国土交通省,3,0.94,,,,EVIDENCE_REQUIRED,判定不能,3-1成果目標・実績、3-2効果発現経路、4-1点検・評価、比較対象、費用対効果
4052,河川改修事業,国土交通省,2,0.93,,,,EVIDENCE_REQUIRED,判定不能,3-1成果目標・実績、3-2効果発現経路、4-1点検・評価、比較対象、費用対効果
4220,港湾整備事業,国土交通省,2,0.92,,,,EVIDENCE_REQUIRED,判定不能,3-1成果目標・実績、3-2効果発現経路、4-1点検・評価、比較対象、費用対効果
4562,河川等災害復旧事業,国土交通省,1,0.95,,,,EVIDENCE_REQUIRED,判定不能,3-1成果目標・実績、3-2効果発現経路、4-1点検・評価、比較対象、費用対効果
19958,先端半導体の国内生産拠点の確保,経済産業省,2,0.90,,,,EVIDENCE_REQUIRED,判定不能,3-1成果目標・実績、3-2効果発現経路、4-1点検・評価、比較対象、費用対効果
7116,蓄電池の製造サプライチェーン強靱化支援事業費,経済産業省,2,0.95,,,,EVIDENCE_REQUIRED,判定不能,3-1成果目標・実績、3-2効果発現経路、4-1点検・評価、比較対象、費用対効果
3649,中小企業生産性革命推進事業,経済産業省,2,0.90,,,,EVIDENCE_REQUIRED,判定不能,3-1成果目標・実績、3-2効果発現経路、4-1点検・評価、比較対象、費用対効果
3522,ポスト5G情報通信システム基盤強化研究開発事業(AI基盤モデル及び先端半導体関連技術開発事業),経済産業省,2,0.90,,,,EVIDENCE_REQUIRED,判定不能,3-1成果目標・実績、3-2効果発現経路、4-1点検・評価、比較対象、費用対効果
3730,燃料油価格激変緩和対策事業,経済産業省,1,0.95,,,,EVIDENCE_REQUIRED,判定不能,3-1成果目標・実績、3-2効果発現経路、4-1点検・評価、比較対象、費用対効果
