company,company_key,fiscal_start,fiscal_end,employees_nonconsolidated,temporary_employees_separately_reported,average_annual_salary_jpy,average_age,average_tenure_years,source_salary_unit,pdf_page,source_url,employee_definition_changed,tax_legal_employee_count,wage_tax_credit_jpy
愛知製鋼,aichi,2022-04-01,2023-03-31,2707,424,6683000,39.7,18.1,千円,9,https://contents.xj-storage.jp/xcontents/AS00059/49a91c33/f313/4873/a2a2/00c8116e7280/S100R0PP.pdf,False,,
愛知製鋼,aichi,2023-04-01,2024-03-31,2639,468,6861000,39.6,17.8,千円,9,https://contents.xj-storage.jp/xcontents/AS00059/7bf35c58/7927/4e92/ab02/c4b2f2d325a2/S100TWE1.pdf,False,,
愛知製鋼,aichi,2024-04-01,2025-03-31,2578,512,7632000,39.4,17.6,千円,9,https://contents.xj-storage.jp/xcontents/AS00059/26e09652/5b74/41a1/8314/170d3901babf/S100W7BL.pdf,False,,
ダイダン,daidan,2022-04-01,2023-03-31,1645,313,8983532,41.9,17.1,円,7,https://www.daidan.co.jp/wp/wp-content/uploads/2023/06/437112c63e51501df371e08cbc909454.pdf,False,,
ダイダン,daidan,2023-04-01,2024-03-31,1687,320,9052522,41.9,16.9,円,8,https://www.daidan.co.jp/wp/wp-content/uploads/2024/06/87212d0491cb60635ab22d9d806ed774.pdf,False,,
ダイダン,daidan,2024-04-01,2025-03-31,2070,,10664362,42.0,16.6,円,8,https://www.daidan.co.jp/wp/wp-content/uploads/2025/06/0085e2c565b9e47a680d74ac2426dce4.pdf,True,,
ダイヘン,daihen,2022-04-01,2023-03-31,1086,,8581000,42.2,17.5,千円,14,https://www.daihen.co.jp/ir/report_pdf/159_4Q.pdf,False,,
ダイヘン,daihen,2023-04-01,2024-03-31,1231,,9117000,43.4,18.1,千円,15,https://www.daihen.co.jp/ir/report_pdf/160_4Q.pdf,False,,
ダイヘン,daihen,2024-04-01,2025-03-31,1203,,8526000,43.8,19.9,千円,15,https://www.daihen.co.jp/ir/report_pdf/161_4Q.pdf,False,,
ホーチキ,hochiki,2022-04-01,2023-03-31,1449,218,7034810,40.7,13.7,円,10,https://ssl4.eir-parts.net/doc/6745/yuho_pdf/S100R6M7/00.pdf,False,,
ホーチキ,hochiki,2023-04-01,2024-03-31,1500,223,7001462,40.6,13.4,円,10,https://ssl4.eir-parts.net/doc/6745/yuho_pdf/S100TS28/00.pdf,False,,
ホーチキ,hochiki,2024-04-01,2025-03-31,1573,245,7306592,40.3,13.0,円,10,https://ssl4.eir-parts.net/doc/6745/yuho_pdf/S100W2KY/00.pdf,False,,
日本トムソン,iko,2022-04-01,2023-03-31,1000,272,6588749,39.9,16.4,円,10,https://www.ikont.co.jp/ir/finance/pdf/202303_all.pdf,False,,
日本トムソン,iko,2023-04-01,2024-03-31,1007,272,6845835,39.8,16.2,円,10,https://www.ikont.co.jp/ir/finance/pdf/202403_all.pdf,False,,
日本トムソン,iko,2024-04-01,2025-03-31,1024,271,6648821,39.7,16.1,円,10,https://www.ikont.co.jp/ir/finance/pdf/202503_all.pdf,False,,
ニチコン,nichicon,2022-04-01,2023-03-31,538,,6354174,45.1,10.2,円,10,https://contents.xj-storage.jp/xcontents/AS70600a/392e8662/8768/4d38/a0be/15125c00c106/S100R96I.pdf,False,,
ニチコン,nichicon,2023-04-01,2024-03-31,581,,6595952,45.9,9.6,円,10,https://contents.xj-storage.jp/xcontents/AS70600a/be4b8719/248a/43bb/944b/1cafb1b05fc3/S100TW3S.pdf,False,,
ニチコン,nichicon,2024-04-01,2025-03-31,585,,6888476,45.6,9.7,円,10,https://contents.xj-storage.jp/xcontents/AS70600a/87ca4fbe/ee63/4268/9d95/0668200f61bd/S100W8DW.pdf,False,,
日東工業,nito,2022-04-01,2023-03-31,2148,242,5996781,40.1,15.1,円,11,https://ssl4.eir-parts.net/doc/6651/yuho_pdf/S100RA21/00.pdf,False,,
日東工業,nito,2023-04-01,2024-03-31,2170,222,6149589,40.1,15.1,円,11,https://ssl4.eir-parts.net/doc/6651/yuho_pdf/S100TWX6/00.pdf,False,,
日東工業,nito,2024-04-01,2025-03-31,2216,210,6449076,40.1,15.1,円,11,https://ssl4.eir-parts.net/doc/6651/yuho_pdf/S100W6YI/00.pdf,False,,
プレス工業,press,2022-04-01,2023-03-31,1811,,6916124,41.4,20.0,円,10,https://ssl4.eir-parts.net/doc/7246/yuho_pdf/S100R78F/00.pdf,False,,
プレス工業,press,2023-04-01,2024-03-31,1768,,6998751,41.1,19.4,円,8,https://ssl4.eir-parts.net/doc/7246/yuho_pdf/S100TV88/00.pdf,False,,
